"id","kecamatan","kode_bps","kode_kemendagri","kelurahan","puskesmas","created_at","updated_at"
"1","29","3273250002","3273011001","Sukarasa","74","11/7/2022 04:22:47","11/7/2022 04:22:47"
"2","29","3273250003","3273011002","Gegerkalong","71","11/7/2022 04:22:47","11/7/2022 04:22:47"
"3","29","3273250004","3273011003","Isola","72","11/7/2022 04:22:47","11/7/2022 04:22:47"
"4","29","3273250001","3273011004","Sarijadi","73","11/7/2022 04:22:47","11/7/2022 04:22:47"
"5","27","3273230001","3273021001","Cipaganti","47","11/7/2022 04:22:47","11/7/2022 04:22:47"
"6","27","3273230003","3273021002","Lebak Gede","49","11/7/2022 04:22:47","11/7/2022 04:22:47"
"7","27","3273230004","3273021003","Sadang Serang","48","11/7/2022 04:22:47","11/7/2022 04:22:47"
"8","27","3273230006","3273021004","Dago","47","11/7/2022 04:22:47","11/7/2022 04:22:47"
"9","27","3273230005","3273021005","Sekeloa","46","11/7/2022 04:22:47","11/7/2022 04:22:47"
"10","27","3273230002","3273021006","Lebak Siliwangi","47","11/7/2022 04:22:47","11/7/2022 04:22:47"
"11","2","3273020004","3273031001","Babakan Ciparay","12","11/7/2022 04:22:47","11/7/2022 04:22:47"
"12","2","3273020005","3273031002","Babakan","14","11/7/2022 04:22:47","11/7/2022 04:22:47"
"13","2","3273020006","3273031003","Sukahaji","14","11/7/2022 04:22:47","11/7/2022 04:22:47"
"14","2","3273020003","3273031004","Margahayu Utara","12","11/7/2022 04:22:47","11/7/2022 04:22:47"
"15","2","3273020001","3273031005","Margasuka","13","11/7/2022 04:22:47","11/7/2022 04:22:47"
"16","2","3273020002","3273031006","Cirangrang","13","11/7/2022 04:22:47","11/7/2022 04:22:47"
"17","3","3273030001","3273041001","Kopo","27","11/7/2022 04:22:47","11/7/2022 04:22:47"
"18","3","3273030004","3273041002","Babakan Tarogong","26","11/7/2022 04:22:47","11/7/2022 04:22:47"
"19","3","3273030005","3273041003","Jamika","28","11/7/2022 04:22:47","11/7/2022 04:22:47"
"20","3","3273030003","3273041004","Babakan Asih","26","11/7/2022 04:22:47","11/7/2022 04:22:47"
"21","3","3273030002","3273041005","Suka Asih","27","11/7/2022 04:22:47","11/7/2022 04:22:47"
"22","22","3273180002","3273051001","Maleber","2","11/7/2022 04:22:47","11/7/2022 04:22:47"
"23","22","3273180004","3273051002","Dungus Cariang","2","11/7/2022 04:22:47","11/7/2022 04:22:47"
"24","22","3273180005","3273051003","Ciroyom","1","11/7/2022 04:22:47","11/7/2022 04:22:47"
"25","22","3273180006","3273051004","Kebon Jeruk","1","11/7/2022 04:22:47","11/7/2022 04:22:47"
"26","22","3273180003","3273051005","Garuda","2","11/7/2022 04:22:47","11/7/2022 04:22:47"
"27","22","3273180001","3273051006","Campaka","2","11/7/2022 04:22:47","11/7/2022 04:22:47"
"28","23","3273190005","3273061001","Husen Sastranegara","41","11/7/2022 04:22:47","11/7/2022 04:22:47"
"29","23","3273190001","3273061002","Arjuna","41","11/7/2022 04:22:47","11/7/2022 04:22:47"
"30","23","3273190004","3273061003","Pajajaran","41","11/7/2022 04:22:47","11/7/2022 04:22:47"
"31","23","3273190002","3273061004","Pasirkaliki","41","11/7/2022 04:22:47","11/7/2022 04:22:47"
"32","23","3273190003","3273061005","Pamoyanan","41","11/7/2022 04:22:47","11/7/2022 04:22:47"
"33","23","3273190006","3273061006","Sukaraja","42","11/7/2022 04:22:47","11/7/2022 04:22:47"
"34","28","3273240005","3273071001","Pasteur","69","11/7/2022 04:22:47","11/7/2022 04:22:47"
"35","28","3273240004","3273071002","Cipedes","69","11/7/2022 04:22:47","11/7/2022 04:22:47"
"36","28","3273240001","3273071003","Sukawarna","70","11/7/2022 04:22:47","11/7/2022 04:22:47"
"37","28","3273240002","3273071004","Sukagalih","68","11/7/2022 04:22:47","11/7/2022 04:22:47"
"38","28","3273240003","3273071005","Sukabungah","69","11/7/2022 04:22:47","11/7/2022 04:22:47"
"39","30","3273260001","3273081001","Hegarmanah","44","11/7/2022 04:22:47","11/7/2022 04:22:47"
"40","30","3273260002","3273081002","Ciumbuleuit","44","11/7/2022 04:22:47","11/7/2022 04:22:47"
"41","30","3273260003","3273081003","Ledeng","43","11/7/2022 04:22:47","11/7/2022 04:22:47"
"42","24","3273200003","3273091001","Cihapit","21","11/7/2022 04:22:47","11/7/2022 04:22:47"
"43","24","3273200001","3273091002","Taman Sari","22","11/7/2022 04:22:47","11/7/2022 04:22:47"
"44","24","3273200002","3273091003","Citarum","21","11/7/2022 04:22:47","11/7/2022 04:22:47"
"45","5","3273050001","3273101001","Karasak","11","11/7/2022 04:22:47","11/7/2022 04:22:47"
"46","5","3273050003","3273101002","Nyengseret","8","11/7/2022 04:22:47","11/7/2022 04:22:47"
"47","5","3273050006","3273101003","Karang Anyar","10","11/7/2022 04:22:47","11/7/2022 04:22:47"
"48","5","3273050004","3273101004","Panjunan","9","11/7/2022 04:22:47","11/7/2022 04:22:47"
"49","5","3273050005","3273101005","Cibadak","10","11/7/2022 04:22:47","11/7/2022 04:22:47"
"50","5","3273050002","3273101006","Pelindung Hewan","11","11/7/2022 04:22:47","11/7/2022 04:22:47"
"51","6","3273060004","3273111001","Cigereleng","65","11/7/2022 04:22:47","11/7/2022 04:22:47"
"52","6","3273060003","3273111002","Ancol","66","11/7/2022 04:22:47","11/7/2022 04:22:47"
"53","6","3273060006","3273111003","Pungkur","67","11/7/2022 04:22:47","11/7/2022 04:22:47"
"54","6","3273060007","3273111004","Balong Gede","67","11/7/2022 04:22:47","11/7/2022 04:22:47"
"55","6","3273060001","3273111005","Ciseureuh","65","11/7/2022 04:22:47","11/7/2022 04:22:47"
"56","6","3273060005","3273111006","Ciateul","65","11/7/2022 04:22:47","11/7/2022 04:22:47"
"57","6","3273060002","3273111007","Pasirluyu","66","11/7/2022 04:22:47","11/7/2022 04:22:47"
"58","20","3273160001","3273121001","Gumuruh","24","11/7/2022 04:22:47","11/7/2022 04:22:47"
"59","20","3273160004","3273121002","Maleer","24","11/7/2022 04:22:47","11/7/2022 04:22:47"
"60","20","3273160005","3273121003","Cibangkong","25","11/7/2022 04:22:47","11/7/2022 04:22:47"
"61","20","3273160007","3273121004","Kacapiring","23","11/7/2022 04:22:47","11/7/2022 04:22:47"
"62","20","3273160008","3273121005","Kebon Waru","25","11/7/2022 04:22:47","11/7/2022 04:22:47"
"63","20","3273160003","3273121006","Kebon Gedang","25","11/7/2022 04:22:47","11/7/2022 04:22:47"
"64","20","3273160006","3273121007","Samoja","23","11/7/2022 04:22:47","11/7/2022 04:22:47"
"65","20","3273160002","3273121008","Binong","24","11/7/2022 04:22:47","11/7/2022 04:22:47"
"66","7","3273070001","3273131001","Cijagra","54","11/7/2022 04:22:47","11/7/2022 04:22:47"
"67","7","3273070003","3273131002","Lingkar Selatan","55","11/7/2022 04:22:47","11/7/2022 04:22:47"
"68","7","3273070005","3273131003","Burangrang","57","11/7/2022 04:22:47","11/7/2022 04:22:47"
"69","7","3273070007","3273131004","Paledang","56","11/7/2022 04:22:47","11/7/2022 04:22:47"
"70","7","3273070002","3273131005","Turangga","55","11/7/2022 04:22:47","11/7/2022 04:22:47"
"71","7","3273070004","3273131006","Malabar","57","11/7/2022 04:22:47","11/7/2022 04:22:47"
"72","7","3273070006","3273131007","Cikawao","57","11/7/2022 04:22:47","11/7/2022 04:22:47"
"73","25","3273210004","3273141001","Padasuka","36","11/7/2022 04:22:47","11/7/2022 04:22:47"
"74","25","3273210003","3273141002","Cikutra","36","11/7/2022 04:22:47","11/7/2022 04:22:47"
"75","25","3273210002","3273141003","Cicadas","36","11/7/2022 04:22:47","11/7/2022 04:22:47"
